pmid,title,abstract,publication_date,publication_year,journal,volume,issue,pages,language,relevant,dois,publication_types,mesh_terms,keywords,prediction,probability,correct
28419337,Targeted Embolization of Aneurysms Associated With Brain Arteriovenous Malformations at High Risk for Surgical Resection: A Case-Control Study.,"BACKGROUND: High-risk components of brain arteriovenous malformations (BAVMs) can be targeted to reduce the risk of lesion rupture. OBJECTIVE: To evaluate targeted embolization of aneurysms against other means of treatment with a case-control analysis; we previously investigated this approach associated with BAVMs. METHODS: Retrospective analysis of patients with BAVMs was performed, identifying patients treated with intention to occlude only an aneurysm associated with a BAVM. For each targeted aneurysm embolization (TAE) patient identified, 4 control patients were randomly selected, controlling for rupture status, age, and Spetzler-Martin plus Lawton-Young supplemental score. Analysis was performed to compare rates of adverse events (hemorrhage, new seizure, and death) between the 2 groups. RESULTS: Thirty-two patients met inclusion criteria, and 128 control patients were identified, out of 1103 patients treated during the study period. Thirty-four adverse events occurred (15 ruptures, 15 new seizures, and 11 deaths) during the follow-up period (mean 1157 d for the TAE cohort and 1036 d for the non-TAE cohort). Statistically lower associations were noted for the TAE group for any adverse event (hazard ratio 0.28, P = .037) and the composite outcome of hemorrhage or new seizure (hazard ratio 0.20, P = .029). CONCLUSION: For BAVMs at high risk for surgical resection, TAE can be performed safely and effectively. Patients treated with TAE had better outcomes than matched patients undergoing other combinations of treatment. TAE can be considered for BAVMs with high operative risk prior to radiosurgery or when no other treatment options are available.",2018 Mar 1,2018,Neurosurgery,82,3,343-349,eng,False,10.1093/neuros/nyx167;3610993;nyx167;10.1093/neuros/nyx167,Journal Article;Multicenter Study,"Adult;Aged;Case-Control Studies;Cohort Studies;Embolization, Therapeutic/*methods;Female;Follow-Up Studies;Humans;Intracranial Aneurysm/diagnosis/epidemiology/*therapy;Intracranial Arteriovenous Malformations/diagnosis/epidemiology/*therapy;Male;Middle Aged;Postoperative Complications/epidemiology/prevention & control;Radiosurgery/*methods;Random Allocation;Retrospective Studies;Risk Factors",,True,0.5030003633085248,False
28495425,Volume-staged stereotactic radiosurgery for large intracranial arteriovenous malformations.,"Stereotactic radiosurgery (SRS) is an effective treatment option for intracranial arteriovenous malformations (AVM). However, the treatment of large AVMs (nidus volume ≥12cm(3)) with single-session SRS alone yields generally poor outcomes. Volume-staged SRS (VS-SRS) is a therapeutic strategy for large AVMs which seeks to avoid the disadvantages of single-session SRS, but reports regarding its efficacy remain limited. The aim of this retrospective cohort study is to assess the outcomes of VS-SRS for large AVMs. We identified all AVM patients who underwent VS-SRS at our institution from 2000 to 2015 with ≥12months follow-up. Baseline and outcomes data were analyzed. A total of 12 patients were selected for the study cohort, with a median age of 30years. The median maximum AVM diameter and nidus volume were 4.3cm and 13.6cm(3), respectively. The Spetzler-Martin grade was III and IV each in six AVMs (50%). All patients underwent VS-SRS in two stages, and the median margin dose was 17Gy for both VS-SRS procedures. The median time interval between the two procedures was three months. After a median radiologic follow-up duration of 39months, the median degree of AVM volume reduction (evaluable in nine patients) was 87% (range 12-99%). The rates of radiologically evident, symptomatic, and permanent radiation-induced changes were 58%, 25%, and 8%, respectively. There were no cases of post-SRS hemorrhage. VS-SRS substantially reduces the size of large AVMs. A potential role for VS-SRS may be to facilitate subsequent definitive intervention to obliterate a shrunken, residual nidus.",2017 Sep,2017,Journal of clinical neuroscience : official journal of the Neurosurgical Society,43,,202-207,eng,False,S0967-5868(16)30318-6;10.1016/j.jocn.2017.04.020;S0967-5868(16)30318-6;10.1016/j.jocn.2017.04.020,Journal Article,"Adolescent;Adult;Arteriovenous Fistula/diagnostic imaging/*surgery;Child;Female;Follow-Up Studies;Humans;Intracranial Arteriovenous Malformations/diagnostic imaging/*surgery;Male;Middle Aged;*Outcome Assessment, Health Care;Radiosurgery/*methods;Retrospective Studies;Young Adult",Gamma Knife;Intracranial arteriovenous malformations;Intracranial hemorrhages;Radiosurgery;Stroke;Vascular malformations,True,0.7313346944798468,False
16682140,Pediatric cerebral arteriovenous malformations: the role of stereotactic linac-based radiosurgery.,"PURPOSE: To evaluate retrospectively clinical outcome and obliteration rates after linac-based radiosurgery (RS) in children with cerebral arteriovenous malformations (AVM). METHODS AND MATERIALS: Between 1996 and 2002, 22 children with cerebral AVM were treated at our institution. Mean age at treatment was 11.8 years (range, 4.4-16.4 years). Classification according to Spetzler-Martin was 1 child grade I (4%), 7 grade II (32%), 12 grade III (56%), 1 grade IV (4%), and 1 grade V (4%). Median single dose was 18 Gy/80%-isodose. Median AVM volume was 4.2 mL (range, 0.4-26.5 mL). Median RS-based AVM-score was 1.07 (range, 0.61-3.55). Fifty-nine percent of children experienced intracranial hemorrhage before RS. Median follow-up was 3.1 years (range, 1.7-7.3 years). RESULTS: Actuarial complete obliteration rate (CO) was 54% after 3 years and 65% after 4 years, respectively. Median time interval to CO was 27.1 months. Intracranial hemorrhage after RS was seen in five children after median 13.9 months. Annual bleeding risk was 9.1% after 1 year and 13.6% after 2 years. Maximum diameter>or=3 cm and AVM-volume>or=6 mL were significant predictors for intracranial hemorrhage. Neurologic deficits were improved/completely dissolved in 58% of children and remained stable in 42%. No new onset of neurologic dysfunction was seen after RS. CONCLUSIONS: RS is safe and effective in pediatric cerebral AVM with high obliteration rates. Size and volume of AVM are significant predictors for intracranial bleeding. The same treatment guidelines as in adults should be applied. Careful long-term follow-up observation is required after RS from long life expectation.",2006 Jul 15,2006,"International journal of radiation oncology, biology, physics",65,4,1206-11,eng,False,S0360-3016(06)00242-2;10.1016/j.ijrobp.2006.01.041,Evaluation Study;Journal Article,"Adolescent;Child;Child, Preschool;Female;Humans;Intracranial Arteriovenous Malformations/*surgery;Intracranial Hemorrhages/etiology;Male;Radiosurgery/adverse effects/*methods;Retrospective Studies;Treatment Outcome",,True,0.7006838710359173,False
38277659,Repeat stereotactic radiosurgery for persistent cerebral arteriovenous malformations in pediatric patients.,"OBJECTIVE: The purpose of this study was to describe the long-term outcomes and associated risks related to repeat stereotactic radiosurgery (SRS) for persistent arteriovenous malformations (AVMs) in pediatric patients. METHODS: Under the auspices of the International Radiosurgery Research Foundation, this retrospective multicenter study analyzed pediatric patients who underwent repeat, single-session SRS between 1987 and 2022. The primary outcome variable was a favorable outcome, defined as nidus obliteration without hemorrhage or neurological deterioration. Secondary outcomes included rates and probabilities of hemorrhage, radiation-induced changes (RICs), and cyst or tumor formation. RESULTS: The cohort included 83 pediatric patients. The median patient age was 11 years at initial SRS and 15 years at repeat SRS. Fifty-seven children (68.7%) were managed exclusively using SRS, and 42 (50.6%) experienced hemorrhage prior to SRS. Median AVM diameter and volume were substantially different between the first (25 mm and 4.5 cm3, respectively) and second (16.5 mm and 1.6 cm3, respectively) SRS, while prescription dose and isodose line remained similar. At the 5-year follow-up evaluation from the second SRS, nidus obliteration was achieved in 42 patients (50.6%), with favorable outcome in 37 (44.6%). The median time to nidus obliteration and hemorrhage was 35.5 and 38.5 months, respectively. The yearly cumulative probability of favorable outcome increased from 2.5% (95% CI 0.5%-7.8%) at 1 year to 44% (95% CI 32%-55%) at 5 years. The probability of achieving obliteration followed a similar pattern and reached 51% (95% CI 38%-62%) at 5 years. The 5-year risk of hemorrhage during the latency period after the second SRS reached 8% (95% CI 3.2%-16%). Radiographically, 25 children (30.1%) had RICs, but only 5 (6%) were symptomatic. Delayed cyst formation occurred in 7.2% of patients, with a median onset of 47 months. No radiation-induced neoplasia was observed. CONCLUSIONS: The study results showed nidus obliteration in most pediatric patients who underwent repeat SRS for persistent AVMs. The risks of symptomatic RICs and latency period hemorrhage were quite low. These findings suggest that repeat radiosurgery should be considered when treating pediatric patients with residual AVM after prior SRS. Further study is needed to define the role of repeat SRS more fully in this population.",2024 Apr 1,2024,Journal of neurosurgery. Pediatrics,33,4,307-314,eng,False,10.3171/2023.12.PEDS23465;10.3171/2023.12.PEDS23465,Journal Article;Multicenter Study,Humans;Child;*Radiosurgery/adverse effects/methods;Treatment Outcome;Retrospective Studies;*Intracranial Arteriovenous Malformations/diagnostic;Hemorrhage/complications/surgery;*Cysts;Follow-Up Studies,arteriovenous malformation;stereotactic radiosurgery;vascular disorders,True,0.7700901916067695,False
23205800,Long-term follow-up results of intentional 2-stage Gamma Knife surgery with an interval of at least 3 years for arteriovenous malformations larger than 10 cm³.,"OBJECT: Little information is available on staged Gamma Knife surgery (GKS) with an interval of 3 years or more when used to treat arteriovenous malformations (AVMs) with volumes larger than 10 cm(3). The goal of this study was to increase knowledge in this area by reporting the authors' experience. METHODS: The authors describe an institutional review board-approved retrospective study in which they examined databases including information on 250 patients who consecutively underwent GKS for cerebral AVMs during a 16-year period (1988-2004). Among the 250 patients the authors identified 31 patients (12.4%, 15 female and 16 male patients with a mean age of 29 years [range 10-63 years]) in whom 2-stage GKS was intentionally planned at the time of initial treatment because the volume of the AVM nidus was larger than 10 cm(3). The most common presentation was bleeding (14 patients), followed by seizures (9 patients), incidental findings (7 patients), and headache with scintillation (1 patient). One patient underwent GKS for the treatment of 2 AVMs simultaneously, and thus 32 AVMs are included in this study. The mean nidus volume was 16.2 cm(3) (maximum 55.8 cm(3)). In all 31 patients, relatively low radiation doses (12-16 Gy directed at the periphery of the lesion) were intentionally used for the first GKS. The second GKS was scheduled for at least 36 months after the first. RESULTS: Complete nidus obliteration was obtained after the first GKS in 1 patient. To date, 26 patients have undergone a second procedure with a post-GKS mean interval of 41 months (range 24-83 months); 2 other patients refused to undergo the second GKS, and no further treatment was given because of severe morbidity in 1 case and death due to bleeding in the other case. Among the 26 patients who did undergo a second procedure, 3 patients refused follow-up digital subtraction (DS) angiography, another is scheduled for follow-up DS angiography, and 2 patients died, one of bleeding and the other of an unknown cause. The remaining 20 patients underwent follow-up DS angiography. Complete nidus obliteration was confirmed in 13 patients (65.0%) and remarkable nidus shrinkage in the other 7 patients (35.0%). In 2 of these 7 patients, a third GKS achieved complete nidus obliteration. Therefore, the cumulative complete obliteration rate in this series was 76.2% (16 of 21 eligible patients). Seven patients (22.6%) experienced bleeding. The bleeding rates were 9.7%, 16.1%, 16.1%, and 26.1%, respectively, at 1, 2, 5, and 10 years post-GKS. There were 2 deaths and 3 cases of morbidity (persistent coma, mild hemimotor weakness, and hemianopsia in 1 patient each). Hemorrhage did not produce neurological deficits in the other 2 patients. During the mean post-GKS follow-up period of 105 months (range 42-229 months) to date, mild symptomatic GKS-related complications occurred in 2 patients (6.5%); these were classified as Radiation Oncology Group Neurotoxicity Grade 1 in 1 patient and Grade 2 in the other. Among various pre-GKS clinical factors, univariate analysis showed only patient age to impact complications (hazard ratio 0.675, 95% CI 0.306-0.942, p = 0.0085). The rate of complications in the pediatric cases was 33.3%, whereas that in the adolescent and adult cases was 0% (p = 0.0323). CONCLUSIONS: Although a final conclusion awaits further studies and patient follow-up, these results suggest 2-stage GKS to be beneficial even for relatively large AVMs.",2012 Dec,2012,Journal of neurosurgery,117 Suppl,,126-34,eng,False,10.3171/2012.6.GKS12757;10.3171/2012.6.GKS12757,Journal Article,Adolescent;Adult;Cerebral Angiography;Child;Female;Follow-Up Studies;Humans;Intracranial Arteriovenous Malformations/diagnostic imaging/*surgery;Male;Middle Aged;Radiosurgery/*instrumentation;Retrospective Studies;Treatment Outcome,,True,0.6557008597683396,False
32822953,Clinico-Radiologic Outcomes After Stereotactic Radiosurgery for Patients with Complex High-Risk Multiple Arteriovenous Malformations.,"OBJECTIVE: The present study aims to define the outcome and risks of patients with multiple arteriovenous malformations (AVMs) treated by stereotactic radiosurgery (SRS). METHODS: We retrospectively analyzed the records of 1232 patients with AVMs who underwent SRS at our center between 1987 and 2017. We identified 10 patients who had SRS for multiple AVMs (total of 25). Eight patients presented with intracranial hemorrhage before SRS. Four patients had hereditary hemorrhagic telangiectasia. A Spetzler-Martin grade I AVM was diagnosed in 11 AVMs, grade II in 7, grade III in 6, and grade IV in 1 AVM. The median maximum diameter was 12 mm, the median target volume was 1.1 cm(3), and the median margin dose was 20 Gy. Twenty-four AVMs were treated with single-session SRS, and 1 AVM was treated with volume-staged SRS. RESULTS: The angiographic complete obliteration rate of each AVM was 18.2%, 58.0%, and 66.4% at 3, 5, and 7 years, respectively. The angiographic complete obliteration rate of all treated AVMs in each patient was 11.1%, 51.4%, and 51.4% at 3, 5, and 7 years, respectively. In multivariate analysis, higher marginal dose (≥18 Gy, P = 0.031) was significantly associated with complete obliteration of AVMs. After obliteration of all their AVMs was confirmed no patient bled. CONCLUSIONS: Patients with complex multiple AVMs often presented with a brain hemorrhage. Reduction in bleeding risk after SRS requires complete obliteration that is more likely if the initial AVM margin dose is ≥18 Gy for each AVM.",2020 Dec,2020,World neurosurgery,144,,e244-e252,eng,False,S1878-8750(20)31866-0;10.1016/j.wneu.2020.08.099;S1878-8750(20)31866-0;10.1016/j.wneu.2020.08.099,Journal Article,Adult;Aged;Arteriovenous Fistula/*surgery;Child;Female;Humans;Intracranial Arteriovenous Malformations/*surgery;Male;Middle Aged;Radiosurgery/*methods;Retrospective Studies;Treatment Outcome;Young Adult,AVM;Arteriovenous malformations;Gamma knife;Hereditary hemorrhagic telangiectasia;Intracerebral hemorrhage;Multiple;Stereotactic radiosurgery,True,0.8996805048923799,False
19123888,Treatment of arteriovenous malformations using Gamma Knife surgery: the experience at the University of Washington from 2000 to 2005.,"OBJECT: The purpose of this study was to examine the efficacy and toxicity of treating arteriovenous malformations (AVMs) with the model 3C Gamma Knife at the University of Washington Medical Center. METHODS: Ninety-five evaluable patients with 99 treatable AVMs were treated at the University of Washington Medical Center from April 2000 through June 2005. The median patient age at the time of treatment was 40 years (range 6-68 years). The male to female patient ratio was 0.98:1. The median AVM volume treated was 3.8 cm(3) (range 0.12-32 cm(3)). Forty-four percent of the patients had hemorrhaged prior to treatment. The median peripheral Gamma Knife surgery dose was 20 Gy with a median of 12 isocenters treated. The median follow-up duration was 38 months (range 3-91 months). Eighty-one percent of the patients had no previous stereotactic radiosurgery (SRS), whereas the remaining 19% had previously been treated with linear accelerator-based SRS. RESULTS: The Kaplan-Meier estimated 6-year AVM obliteration rate for the entire cohort was 71.4%. The Kaplan-Meier estimated 6-year obliteration rate was 72% for patients having no prior SRS and 54.5% for those undergoing repeat SRS. The median time to AVM obliteration was 47 months, with 90% of the obliterations occurring between 24 and 58 months. Eight patients (7.4%) experienced late toxicities. There were 2 fatal bleeds and 13 (13.8%) nonfatal bleeds after Gamma Knife surgery. CONCLUSIONS: Gamma Knife surgery is an effective treatment for AVMs, resulting in an excellent obliteration rate with acceptable toxicity.",2008 Dec,2008,Journal of neurosurgery,109 Suppl,,51-6,eng,False,10.3171/JNS/2008/109/12/S9;10.3171/JNS/2008/109/12/S9,Journal Article,"Adolescent;Adult;Aged;Child;Cohort Studies;Embolization, Therapeutic;Female;Humans;Intracranial Arteriovenous Malformations/complications/diagnosis/*surgery;Kaplan-Meier Estimate;Male;Middle Aged;*Radiosurgery/instrumentation;Radiotherapy Dosage;Recurrence;Retreatment;Retrospective Studies;Treatment Outcome;Young Adult",,True,0.7953479263405672,False
15662777,Long-term complications after gamma knife surgery for arteriovenous malformations.,"OBJECT: The authors analyzed of the long-term complications that occur 2 or more years after gamma knife surgery (GKS) for intracranial arteriovenous malformations (AVMs). METHODS: Patients with previously untreated intracranial AVMs that were managed by GKS and followed for at least 2 years after treatment were selected for analysis (237 cases). Complete AVM obliteration was attained in 130 cases (54.9%), and incomplete obliteration in 107 cases (45.1%). Long-term complications were observed in 22 patients (9.3%). These complications included hemorrhage (eight cases), delayed cyst formation (eight cases), increase of seizure frequency (four cases), and middle cerebral artery stenosis and increased white matter signal intensity on T2-weighted magnetic resonance imaging (one case of each). The long-term complications were associated with larger nidus volume (p < 0.001) and a lobar location of the AVM (p < 0.01). Delayed hemorrhage was associated only with incomplete obliteration of the nidus (p < 0.05). Partial obliteration conveyed no benefit. Delayed cyst formation was associated with a higher maximal GKS dose (p < 0.001), larger nidus volume (p < 0.001), complete nidus obliteration (p < 0.01), and a lobar location of the AVM (p < 0.05). CONCLUSIONS: Incomplete obliteration of the nidus is the most important factor associated with delayed hemorrhagic complications. Partial obliteration does not seem to reduce the risk of hemorrhage. Complete obliteration can be complicated by delayed cyst formation, especially if high maximal treatment doses have been administered.",2005 Jan,2005,Journal of neurosurgery,102 Suppl,,34-7,eng,True,10.3171/jns.2005.102.s_supplement.0034,Journal Article,"Adolescent;Adult;Aged;Brain/blood supply/diagnostic imaging/pathology/surgery;Cerebral Angiography;Cerebral Hemorrhage/*etiology;Child;Female;Follow-Up Studies;Humans;Intracranial Arteriovenous Malformations/diagnostic imaging/pathology/*surgery;Magnetic Resonance Imaging;Male;Middle Aged;*Postoperative Complications;Radiation Dosage;Radiosurgery/*instrumentation;Time;Tomography, X-Ray Computed",,False,0.37615220055924165,False
32032957,Stereotactic radiosurgery for pediatric brain arteriovenous malformations: long-term outcomes.,"OBJECTIVE: Contrary to the better described obliteration- and hemorrhage-related data after stereotactic radiosurgery (SRS) of brain arteriovenous malformations (AVMs) in pediatric patients, estimates of the rarer complications, including cyst and tumor formation, are limited in the literature. The aim of the present study was to assess the long-term outcomes and risks of SRS for AVMs in pediatric patients (age < 18 years). METHODS: The authors retrospectively analyzed the International Radiosurgery Research Foundation pediatric AVM database for the years 1987 to 2018. AVM obliteration, post-SRS hemorrhage, cyst formation, and tumor formation were assessed. Cumulative probabilities, adjusted for the competing risk of death, were calculated. RESULTS: The study cohort comprised 539 pediatric AVM patients (mean follow-up 85.8 months). AVM obliteration was observed in 64.3% of patients, with cumulative probabilities of 63.6% (95% CI 58.8%-68.0%), 77.1% (95% CI 72.1%-81.3%), and 88.1% (95% CI 82.5%-92.0%) over 5, 10, and 15 years, respectively. Post-SRS hemorrhage was observed in 8.4% of patients, with cumulative probabilities of 4.9% (95% CI 3.1%-7.2%), 9.7% (95% CI 6.4%-13.7%), and 14.5% (95% CI 9.5%-20.5%) over 5, 10, and 15 years, respectively. Cyst formation was observed in 2.1% of patients, with cumulative probabilities of 5.5% (95% CI 2.3%-10.7%) and 6.9% (95% CI 3.1%-12.9%) over 10 and 15 years, respectively. Meningiomas were observed in 2 patients (0.4%) at 10 and 12 years after SRS, with a cumulative probability of 3.1% (95% CI 0.6%-9.7%) over 15 years. CONCLUSIONS: AVM obliteration can be expected after SRS in the majority of the pediatric population, with a relatively low risk of hemorrhage during the latency period. Cyst and benign tumor formation after SRS can be observed in 7% and 3% of patients over 15 years, respectively. Longitudinal surveillance for delayed neoplasia is prudent despite its low incidence.",2020 May 1,2020,Journal of neurosurgery. Pediatrics,25,5,497-505,eng,False,10.3171/2019.12.PEDS19595;2019.12.PEDS19595;10.3171/2019.12.PEDS19595,Journal Article,,arteriovenous malformation;complication;cyst;neoplasm;pediatric;radiation;radiosurgery;stroke;vascular disorders,True,0.5092770227206873,False
16338096,"Gamma Knife radiosurgery for cerebral arteriovenous malformations in children/adolescents and adults. Part II: Differences in obliteration rates, treatment-obliteration intervals, and prognostic factors.","PURPOSE: To evaluate and compare obliteration rates (OBRs) and treatment-obliteration intervals (TOIs) for cerebral arteriovenous malformations (cAVMs) treated with Gamma Knife radiosurgery in children/adolescents and adults; and to determine factors predicting the OBR and TOI in these two populations. METHODS AND MATERIALS: This study concerned 62 children/adolescents and 193 adults observed for > or = 3 years. Fisher exact two-tailed and Wilcoxon rank-sum tests, multiple logistics, and Cox proportional hazard models were used for statistical analysis. RESULTS: The overall OBR was 85.5% in children/adolescents and 87.6% in adults (p = 0.671), but children/adolescents showed higher 36-month actuarial OBRs (69.35%) and shorter median TOIs (25.7 months) than adults (66.84% and 28.2 months; p = 0.006 and p = 0.017, respectively). In children/adolescents, lower Spetzler-Martin grades (p = 0.043) and younger age (p = 0.019) correlated significantly with OBRs, and lower Spetzler-Martin grades (p = 0.024) and noneloquent cAVM locations (p = 0.046) with TOIs. In adults, low flow through the cAVM and < 6.2-cm3 volume were associated with both OBR and TOI (p = 0.012 and p = 0.002, respectively). CONCLUSIONS: The differences in OBRs within 3 years and TOIs, although slight, seem to show that pediatric cAVMs behave differently from those in adults after Gamma Knife radiosurgery.",2006 Mar 1,2006,"International journal of radiation oncology, biology, physics",64,3,914-21,eng,True,S0360-3016(05)02604-0;10.1016/j.ijrobp.2005.09.013,Journal Article,"Adolescent;Adult;Age Factors;Aged;Analysis of Variance;Child;Child, Preschool;Female;Humans;Intracranial Arteriovenous Malformations/*surgery;Male;Middle Aged;Prognosis;Proportional Hazards Models;*Radiosurgery;Radiotherapy Dosage;Retreatment;Retrospective Studies;Time Factors",,False,0.4726470785694737,False
19834376,The protective status of subtotal obliteration of arteriovenous malformations after radiosurgery: significance and risk of hemorrhage.,"OBJECTIVE: Arteriovenous malformations (AVMs) treated by radiosurgery with complete obliteration of the nidus but a persisting early draining vein on follow-up angiography can be termed subtotally obliterated. However, these are persistent circulating AVMs. The significance of these lesions, their hemorrhage rate, and their management are analyzed. METHODS: In a series of 862 consecutive patients with AVMs treated by radiosurgery, 121 patients (14%) achieved subtotal obliteration (STO). The angiographic evolution and rate of obliteration were studied. The pretreatment angiographic features, dosimetric parameters, and postradiosurgery hemorrhage rate were compared with those in the rest of the treated population. Finally, the options for follow-up and treatment were analyzed. RESULTS: Of 121 subtotally obliterated AVMs, the bleeding rate was 0%; 53% of patients achieved complete obliteration. This occurred in 71% of those who had STO at 1 year. In the cases in which STO was detected at 2, 3, and 4 years, total obliteration eventually occurred in 43%, 28.5%, and 0%, respectively. Comparative analysis with AVMs in which a part of the nidus persisted showed a significant difference in the bleeding rate. Except for volume, no significant statistical difference in angiographic and dosimetric parameters was found between the STO group and the rest of the studied population with residual nidus. Six cases received further treatment, resulting in 2 cures and 2 treatment-related complications. CONCLUSION: Subtotally obliterated AVMs are different from other partially obliterated AVMs, with a 0% bleeding rate. Their complete obliteration is a function of delay of appearance on follow-up angiography. Invasive follow-up and further treatment of these AVMs do not seem warranted.",2009 Oct,2009,Neurosurgery,65,4,709-17; discussion 717-8,eng,False,10.1227/01.NEU.0000348546.47242.5D;00006123-200910000-00009;10.1227/01.NEU.0000348546.47242.5D,Journal Article,"Adolescent;Adult;Aged;Cerebral Angiography/standards;Cerebral Arteries/abnormalities/physiopathology/surgery;Cerebral Hemorrhage/*epidemiology/physiopathology/prevention & control;Cerebral Veins/abnormalities/physiopathology/surgery;Child;Comorbidity;Female;Humans;Intracranial Arteriovenous Malformations/*epidemiology/physiopathology/*surgery;Male;Middle Aged;Postoperative Hemorrhage/*epidemiology/physiopathology/prevention & control;Radiation Dosage;Radiosurgery/*statistics & numerical data;Radiotherapy Planning, Computer-Assisted;Risk Assessment;Risk Factors;Time Factors;Treatment Outcome;Young Adult",,True,0.5742920708388419,False
28323878,Microsurgery for intracranial arteriovenous malformation: Long-term outcomes in 445 patients.,"BACKGROUND: The management of intracranial arteriovenous malformations(AVMs) poses challenges to the cerebrovascular specialists. OBJECTIVE: To review the long-term outcomes of intracranial AVMs treated with microsurgical resections. METHODS: We performed a retrospective review of 445 patients with intracranial AVMs treated in our hospital from January 1st, 2008 to December 31st, 2014. The extracted data included demographic characteristics, clinical presentations, Spetzler-Martin (SM) grades, Supplemented Spetzler-Martin (SM-Supp) Grades, treatment modalities, long-term outcomes, and obliteration rates. Outcome was assessed with a post-operative modified Rankin Scale (mRS) score at the last follow-up visit. RESULTS: Of the 445 patients treated with microsurgery, 298 (67.0%) patients initially presented with hemorrhage. Based on the SM grading system, the patients were graded as follows: 83(18.6%) Grade I, 156(35.1%) Grade II, 132(29.7%) Grade III, 61(13.7%) Grade IV and 13(2.9%) Grade V. Overall, 344(77.3%) patients had a favorable outcome (mRS score of 0-2). The favorable outcome for Grade I and II were 92.8% and 85.9%, respectively, sharply reducing to 52.5% in patients with Grade IV and 15.4% in patients with Grade V AVMs. 388(87.2%) patients achieved complete obliteration of the AVMs. 63(14.2%) patients experienced recurrent hemorrhage, and the frequency of rehemorrhage was highest in Grade V patients (77.0%), dropping to 3.6% and 3.8% in patients with Grade I and II lesions, respectively. Permanent neurological deficits occurred in 66(14.8%) patients and death in 35(7.9%) patients. There was no difference of AUROC values between SM grading system and SM-supp grading system (0.726 and 0.734, respectively, p = .715). CONCLUSION: The Spetzler-Martin grading system is a simple and effective method to estimate the risk of surgery and to evaluate the prognosis. Microsurgical resection for AVMs depends on the SM grades, and the morbidity-mortality rate increases with an increasing SM grade.",2017,2017,PloS one,12,3,e0174325,eng,False,10.1371/journal.pone.0174325;e0174325;PONE-D-16-36302;10.1371/journal.pone.0174325,Journal Article,"Adolescent;Adult;Aged;Child;Child, Preschool;Combined Modality Therapy/*methods;Embolization, Therapeutic/methods;Female;Follow-Up Studies;Hemorrhage/physiopathology/surgery;Humans;Infant;Intracranial Arteriovenous Malformations/*mortality/*surgery;Male;Microsurgery/*methods;Middle Aged;Neurosurgical Procedures/*methods;Radiosurgery/methods;Retrospective Studies;Treatment Outcome;Young Adult",,True,0.5637709398170877,False
